key,distance
sick,-0.2738174151292461
biggest,-0.2302516204151426
corrupt,-0.2141061146883918
picture,-0.21994216285820908
shall,-0.20669730885828447
protect,-0.22816318203448957
awake,-0.2552530061379222
corruption,-0.23484911923399268
knew,-0.22868559504466351
read,-0.24080973306923373
assets,-0.2311382142984378
enemy,-0.2698582281262385
land,-0.20779223480059658
dark,-0.22903241541885744
choice,-0.2285147146544728
form,-0.20859406217028642
open,-0.20657235817060302
crumbs,-0.21838926771777006
life,-0.2322054832390025
support,-0.23639216158617835
american,-0.2425154948967803
humanity,-0.26596866320910756
stop,-0.24516364895398826
drops,-0.25280582718596345
them,-0.2660813395605987
soon,-0.25138781530866583
love,-0.2518896685087461
elected,-0.22036075022150559
impossible,-0.22758840665001312
remove,-0.24380351750932774
matters,-0.24434102480857267
remain,-0.2225458769961947
sheep,-0.2644951922841132
movement,-0.23243252116218727
imagine,-0.2587516842684854
lose,-0.21620531101266058
nation,-0.24636688803456752
year,-0.23767042382250883
anon,-0.29230086887463846
black,-0.22817539583798627
something,-0.22640220222386406
fail,-0.2500908952656322
given,-0.21366158880684843
majority,-0.23627877739696565
watching,-0.298834405531516
eyes,-0.2812649461218184
force,-0.2567092827991194
bigger,-0.26242252883418543
proves,-0.24081033934965632
warfare,-0.2500458709548954
comes,-0.21458557055621547
told,-0.24698650277896975
pray,-0.243318504157377
only,-0.2516879706443684
board,-0.24887878519807813
planned,-0.2530813444397724
true,-0.2447168637971349
ahead,-0.252072048178594
welcome,-0.28234718863030206
group,-0.24227294756504822
defend,-0.26019118231079114
antifa,-0.26034104361507654
strength,-0.2840387378711733
find,-0.2551162624482637
facts,-0.23207459467713887
republic,-0.2414715788735286
deep,-0.24817327210381868
flag,-0.22996961785731299
logic,-0.266198002901543
deployed,-0.2354547158418486
white,-0.22599250976286162
clean,-0.24595398560317838
effort,-0.2581983852741079
matter,-0.27920808987118817
criminal,-0.23323965107126615
that,-0.292735597279222
created,-0.2202207315625822
kill,-0.21532591454638297
protected,-0.23959681437360195
common,-0.22178203808532837
knowingly,-0.24878850135763303
most,-0.2634655841359225
certain,-0.24714762595641074
snow,-0.23539106766928283
represent,-0.2332222739347357
treason,-0.2568701927765713
mathematically,-0.25276658763488236
means,-0.25836659060136274
impeach,-0.20598098822780658
authority,-0.23983128504715273
violence,-0.24956623874777373
peace,-0.2577895854493134
continue,-0.2906600602497653
fact,-0.23318702709807482
lost,-0.24665059016096003
organized,-0.2747244508068634
don’t,-0.2730124779539716
social,-0.2533084356421298
swamp,-0.2765921566647923
does,-0.257632695874853
attacked,-0.2673153283268612
event,-0.2454864272150828
attempts,-0.279613427777929
